trip_id,driver_id,motion_deduction,audio_deduction,earnings_adj,forecast_status,pulse_score,status,motion_events,audio_events
TRIP001,DRV107,0,-6,+5,ahead,99,Excellent,none,"2 audio event(s): argument (−4), very_loud (−2)"
TRIP002,DRV188,0,-5,0,on_track,95,Excellent,none,"2 audio event(s): argument (−4), loud (−1)"
TRIP003,DRV003,0,-7,0,on_track,93,Excellent,none,"3 audio event(s): very_loud (−2), argument (−4), loud (−1)"
TRIP004,DRV210,0,-8,+5,ahead,97,Excellent,none,"2 audio event(s): argument (−4), argument (−4)"
TRIP005,DRV206,0,-8,+5,ahead,97,Excellent,none,"3 audio event(s): very_loud (−2), very_loud (−2), argument (−4)"
TRIP006,DRV077,0,-9,+5,ahead,96,Excellent,none,"3 audio event(s): argument (−4), loud (−1), argument (−4)"
TRIP007,DRV095,0,-8,+5,ahead,97,Excellent,none,"3 audio event(s): very_loud (−2), very_loud (−2), argument (−4)"
TRIP008,DRV050,0,-12,+5,ahead,93,Excellent,none,"3 audio event(s): argument (−4), argument (−4), argument (−4)"
TRIP009,DRV070,0,-8,-5,at_risk,87,Good,none,"3 audio event(s): very_loud (−2), very_loud (−2), argument (−4)"
TRIP010,DRV145,0,-12,+5,ahead,93,Excellent,none,"3 audio event(s): argument (−4), argument (−4), argument (−4)"
TRIP011,DRV112,0,-5,0,on_track,95,Excellent,none,"2 audio event(s): argument (−4), loud (−1)"
TRIP012,DRV042,0,-10,+5,ahead,95,Excellent,none,"3 audio event(s): argument (−4), very_loud (−2), argument (−4)"
TRIP013,DRV096,0,-9,+5,ahead,96,Excellent,none,"4 audio event(s): argument (−4), very_loud (−2), very_loud (−2), loud (−1)"
TRIP014,DRV032,0,-1,-5,at_risk,94,Excellent,none,1 audio event(s): loud (−1)
TRIP015,DRV111,0,-12,0,on_track,88,Good,none,"5 audio event(s): very_loud (−2), very_loud (−2), very_loud (−2), argument (−4), very_loud (−2)"
TRIP016,DRV067,0,-4,+5,ahead,100,Excellent,none,1 audio event(s): argument (−4)
TRIP017,DRV144,0,-8,-5,at_risk,87,Good,none,"2 audio event(s): argument (−4), argument (−4)"
TRIP018,DRV161,0,-5,+5,ahead,100,Excellent,none,"2 audio event(s): argument (−4), loud (−1)"
TRIP019,DRV045,0,-4,+5,ahead,100,Excellent,none,1 audio event(s): argument (−4)
TRIP020,DRV157,0,-4,+5,ahead,100,Excellent,none,1 audio event(s): argument (−4)
TRIP021,DRV142,0,-5,+5,ahead,100,Excellent,none,"3 audio event(s): very_loud (−2), loud (−1), very_loud (−2)"
TRIP022,DRV048,0,-6,0,on_track,94,Excellent,none,"2 audio event(s): very_loud (−2), argument (−4)"
TRIP023,DRV091,0,-10,-5,at_risk,85,Good,none,"3 audio event(s): argument (−4), argument (−4), very_loud (−2)"
TRIP024,DRV189,0,-1,+5,ahead,100,Excellent,none,1 audio event(s): loud (−1)
TRIP025,DRV188,0,-6,0,on_track,94,Excellent,none,"2 audio event(s): very_loud (−2), argument (−4)"
TRIP026,DRV024,0,-11,+5,ahead,94,Excellent,none,"6 audio event(s): loud (−1), argument (−4), loud (−1), very_loud (−2), very_loud (−2), loud (−1)"
TRIP027,DRV136,0,-4,+5,ahead,100,Excellent,none,"2 audio event(s): very_loud (−2), very_loud (−2)"
TRIP028,DRV189,0,-8,+5,ahead,97,Excellent,none,"2 audio event(s): argument (−4), argument (−4)"
TRIP029,DRV106,0,-1,0,on_track,99,Excellent,none,1 audio event(s): loud (−1)
TRIP030,DRV150,0,-4,0,on_track,96,Excellent,none,1 audio event(s): argument (−4)
